trial,run_name,learning_rate,hidden_dim1,hidden_dim2,weight_decay,activation,best_val_accuracy,best_epoch,final_train_loss,final_val_loss,final_val_accuracy,checkpoint_path,history_path
19,full_run_coarse_search_trial_019,0.01,128,64,0.0,relu,0.5888888888888889,10,1.0059746208645048,1.157628063743497,0.5888888888888889,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_019_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_019_history.json
20,full_run_coarse_search_trial_020,0.01,128,64,0.0,tanh,0.5807407407407408,8,1.1636800071928237,1.2634528981903452,0.5745679012345679,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_020_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_020_history.json
21,full_run_coarse_search_trial_021,0.01,128,64,0.0,sigmoid,0.3693827160493827,9,1.7840966069256818,1.7769356549816366,0.36790123456790125,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_021_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_021_history.json
22,full_run_coarse_search_trial_022,0.01,128,64,0.0001,relu,0.5869135802469135,8,1.030073937399283,1.1790475936630618,0.585925925925926,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_022_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_022_history.json
23,full_run_coarse_search_trial_023,0.01,128,64,0.0001,tanh,0.5804938271604938,8,1.1846512347805083,1.2842439383200663,0.5743209876543209,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_023_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_023_history.json
24,full_run_coarse_search_trial_024,0.01,128,64,0.0001,sigmoid,0.36864197530864196,9,1.8052183323522701,1.7980925814887632,0.3676543209876543,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_024_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_024_history.json
25,full_run_coarse_search_trial_025,0.01,256,128,0.0,relu,0.605925925925926,8,0.9203988263342116,1.1070718043527485,0.6024691358024692,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_025_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_025_history.json
26,full_run_coarse_search_trial_026,0.01,256,128,0.0,tanh,0.5837037037037037,10,1.1045881699758862,1.23094895798483,0.5837037037037037,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_026_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_026_history.json
27,full_run_coarse_search_trial_027,0.01,256,128,0.0,sigmoid,0.3814814814814815,9,1.6965789883225053,1.6944983892087584,0.38049382716049385,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_027_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_027_history.json
28,full_run_coarse_search_trial_028,0.01,256,128,0.0001,relu,0.6079012345679012,10,0.9608923540159361,1.1443650649058967,0.6079012345679012,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_028_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_028_history.json
29,full_run_coarse_search_trial_029,0.01,256,128,0.0001,tanh,0.5837037037037037,10,1.144840853858423,1.2709661624790707,0.5837037037037037,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_029_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_029_history.json
30,full_run_coarse_search_trial_030,0.01,256,128,0.0001,sigmoid,0.3817283950617284,9,1.7370146069884935,1.734959729501936,0.38049382716049385,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_030_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_030_history.json
31,full_run_coarse_search_trial_031,0.01,512,256,0.0,relu,0.6224691358024691,10,0.8748856578932868,1.061283989335284,0.6224691358024691,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_031_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_031_history.json
32,full_run_coarse_search_trial_032,0.01,512,256,0.0,tanh,0.5935802469135802,8,1.071153394053222,1.2087209776301442,0.5886419753086419,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_032_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_032_history.json
33,full_run_coarse_search_trial_033,0.01,512,256,0.0,sigmoid,0.4106172839506173,9,1.6401759161015668,1.6396346866348643,0.40296296296296297,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_033_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_033_history.json
34,full_run_coarse_search_trial_034,0.01,512,256,0.0001,relu,0.6254320987654322,10,0.9545712530990285,1.1434401068946465,0.6254320987654322,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_034_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_034_history.json
35,full_run_coarse_search_trial_035,0.01,512,256,0.0001,tanh,0.5933333333333334,8,1.1495500995204457,1.286865564068453,0.5888888888888889,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_035_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_035_history.json
36,full_run_coarse_search_trial_036,0.01,512,256,0.0001,sigmoid,0.4103703703703704,9,1.7187787064168414,1.7182571061475784,0.40296296296296297,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_036_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_036_history.json
37,full_run_coarse_search_trial_037,0.003,128,64,0.0,relu,0.5454320987654321,10,1.2210165838968186,1.2924301222224295,0.5454320987654321,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_037_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_037_history.json
38,full_run_coarse_search_trial_038,0.003,128,64,0.0,tanh,0.5323456790123456,10,1.359240378374776,1.397964410605254,0.5323456790123456,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_038_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_038_history.json
39,full_run_coarse_search_trial_039,0.003,128,64,0.0,sigmoid,0.3,10,2.0006240023254716,1.995073998062699,0.3,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_039_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_039_history.json
40,full_run_coarse_search_trial_040,0.003,128,64,0.0001,relu,0.5412345679012346,10,1.2455418061148824,1.3179324978322158,0.5412345679012346,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_040_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_040_history.json
41,full_run_coarse_search_trial_041,0.003,128,64,0.0001,tanh,0.5323456790123456,10,1.3797350904847412,1.418432165049329,0.5323456790123456,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_041_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_041_history.json
42,full_run_coarse_search_trial_042,0.003,128,64,0.0001,sigmoid,0.29975308641975307,10,2.021067257527548,2.0155277530893856,0.29975308641975307,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_042_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_042_history.json
43,full_run_coarse_search_trial_043,0.003,256,128,0.0,relu,0.5674074074074074,10,1.138400068863359,1.234101299709744,0.5674074074074074,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_043_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_043_history.json
44,full_run_coarse_search_trial_044,0.003,256,128,0.0,tanh,0.5466666666666666,10,1.2981382552151957,1.3569110451804267,0.5466666666666666,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_044_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_044_history.json
45,full_run_coarse_search_trial_045,0.003,256,128,0.0,sigmoid,0.30765432098765433,10,1.9145863445473728,1.9113130780208258,0.30765432098765433,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_045_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_045_history.json
46,full_run_coarse_search_trial_046,0.003,256,128,0.0001,relu,0.568395061728395,10,1.1789440528824418,1.2726133665084836,0.568395061728395,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_046_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_046_history.json
47,full_run_coarse_search_trial_047,0.003,256,128,0.0001,tanh,0.5469135802469136,10,1.337882928585274,1.396615867348658,0.5469135802469136,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_047_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_047_history.json
48,full_run_coarse_search_trial_048,0.003,256,128,0.0001,sigmoid,0.30765432098765433,10,1.954357751513849,1.9510939820560411,0.30765432098765433,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_048_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_048_history.json
49,full_run_coarse_search_trial_049,0.003,512,256,0.0,relu,0.5740740740740741,10,1.104989034788949,1.198899030332212,0.5740740740740741,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_049_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_049_history.json
50,full_run_coarse_search_trial_050,0.003,512,256,0.0,tanh,0.5508641975308642,10,1.263831698452985,1.3300255153208602,0.5508641975308642,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_050_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_050_history.json
51,full_run_coarse_search_trial_051,0.003,512,256,0.0,sigmoid,0.32765432098765435,9,1.8619891616528628,1.8588832682150382,0.3254320987654321,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_051_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_051_history.json
52,full_run_coarse_search_trial_052,0.003,512,256,0.0001,relu,0.5730864197530864,10,1.1829474077555746,1.2762128634923773,0.5730864197530864,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_052_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_052_history.json
53,full_run_coarse_search_trial_053,0.003,512,256,0.0001,tanh,0.5511111111111111,10,1.341774856379474,1.4079271351402183,0.5511111111111111,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_053_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_053_history.json
54,full_run_coarse_search_trial_054,0.003,512,256,0.0001,sigmoid,0.32765432098765435,9,1.9399783715248298,1.9368804733606042,0.3254320987654321,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_054_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_054_history.json
